title,link,description,published,city,state_name_x,county_name,lat,lng,roberta_title,roberta_description,roberta_title_label,roberta_title_score,roberta_desc_label,roberta_desc_score,city_ascii,state_id,state_name_y,county_fips,population,density,military,incorporated,timezone,zips
Locals to get more say on wind farms,http://www.bbc.co.uk/news/business-22791815#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Local communities in England are to be given more powers to block onshore wind farms, but also offered greater incentives to accept them.","Thu, 06 Jun 2013 18:19:06 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8506356477737427)","('neutral', 0.7068475484848022)",neutral,0.8506356477737427,neutral,0.7068475484848022,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Alien species making England home,http://www.bbc.co.uk/news/uk-england-28896634#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Why do terrapins live in canals?,"Sat, 13 Sep 2014 23:11:41 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5147850513458252)","('negative', 0.6186044216156006)",neutral,0.5147850513458252,negative,0.6186044216156006,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Otters return from brink of extinction,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-14569933,"Otters have been spotted in Kent, which according to an Environment Agency survey means they have returned to every county in England.","Thu, 18 Aug 2011 06:17:33 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7376528978347778)","('neutral', 0.9289458990097046)",neutral,0.7376528978347778,neutral,0.9289458990097046,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Badger culling gets go-ahead in 11 new areas of England,http://www.bbc.co.uk/news/uk-england-41228693,A vaccination programme to stop the spread of bovine tuberculosis is also restarting.,"Mon, 11 Sep 2017 12:35:09 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8778414130210876)","('neutral', 0.8889549374580383)",neutral,0.8778414130210876,neutral,0.8889549374580383,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Households 'need help to get warmer home',http://www.bbc.co.uk/news/science-environment-41167853,"England’s householders get a raw deal over insulating their homes to save on energy bills, researchers say.","Wed, 06 Sep 2017 06:36:00 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8305540084838867)","('neutral', 0.8371320962905884)",neutral,0.8305540084838867,neutral,0.8371320962905884,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Plans for licence to cull badgers,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-11314871,"The government has set out plans to license farmers in England to shoot badgers on their land, with tens of thousands of animals potentially targeted.","Wed, 15 Sep 2010 13:12:54 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8007282614707947)","('negative', 0.7515796422958374)",neutral,0.8007282614707947,negative,0.7515796422958374,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Heatwave to continue into weekend,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-15122444,"With temperatures soaring across England, this weekend is set to be a busy one for the beaches.","Fri, 30 Sep 2011 08:05:37 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7069251537322998)","('neutral', 0.7207814455032349)",neutral,0.7069251537322998,neutral,0.7207814455032349,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
England in maths global top 10,http://www.bbc.co.uk/news/education-20664752#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Asian countries take top places in international education rankings, but England and Northern Ireland are among high performers.","Tue, 11 Dec 2012 14:40:03 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('positive', 0.6569215059280396)","('positive', 0.7529216408729553)",positive,0.6569215059280396,positive,0.7529216408729553,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
England's only golden eagle feared dead,http://www.bbc.co.uk/news/uk-england-cumbria-36038262#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"England's only resident golden eagle is feared to have died, Lake District wildlife chiefs say.","Thu, 14 Apr 2016 09:39:26 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7010015845298767)","('negative', 0.5536794066429138)",negative,0.7010015845298767,negative,0.5536794066429138,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Green farm subsidy move criticised,http://www.bbc.co.uk/news/science-environment-25459562#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Wildlife groups accuse the government of caving in to big farmers over planned changes to farm subsidies in England.,"Fri, 20 Dec 2013 12:53:23 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.5111574530601501)","('negative', 0.6264660358428955)",neutral,0.5111574530601501,negative,0.6264660358428955,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Threatened birds of prey 'vanish',http://www.bbc.co.uk/news/science-environment-29354828#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Two of the rarest birds of prey in England, which had been satellite tagged, vanish in unexplained circumstances.","Wed, 24 Sep 2014 18:11:14 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.6008752584457397)","('neutral', 0.591600239276886)",negative,0.6008752584457397,neutral,0.591600239276886,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
History of flooding,http://www.bbc.co.uk/news/science-environment-37304856,Written in the sediments of north-west England's lakes is a record of extreme flood events - information that can inform future flood preparedness.,"Fri, 09 Sep 2016 16:15:02 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.769896924495697)","('neutral', 0.9356733560562134)",neutral,0.769896924495697,neutral,0.9356733560562134,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Agency warns of flash flood risk,http://www.bbc.co.uk/news/uk-17679723#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Drought conditions affecting much of England could increase the risk of flash flooding, the Environment Agency warns.","Wed, 11 Apr 2012 13:21:33 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.4970413148403168)","('negative', 0.6045838594436646)",negative,0.4970413148403168,negative,0.6045838594436646,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Sell water 'like oil' firm urged,http://www.bbc.co.uk/news/uk-wales-17656317#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A former head of Welsh Water claims Wales should profit from transferring water to England as another firm plans to sell water to a company in need.,"Tue, 10 Apr 2012 13:47:30 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.883172869682312)","('neutral', 0.7962323427200317)",neutral,0.883172869682312,neutral,0.7962323427200317,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Sam Gyimah is new science minister,http://www.bbc.co.uk/news/education-42624048,Who is the new man in charge of higher education in England?,"Tue, 09 Jan 2018 17:32:24 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8470527529716492)","('neutral', 0.9148364067077637)",neutral,0.8470527529716492,neutral,0.9148364067077636,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Plastic bag charge: 5p levy could be extended in England,http://www.bbc.co.uk/news/uk-42630898,Corner shops could be told to charge shoppers for single-use carrier bags under new government plans.,"Wed, 10 Jan 2018 10:06:00 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8329530954360962)","('neutral', 0.9061847925186157)",neutral,0.8329530954360962,neutral,0.9061847925186156,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Fossil study sheds new light on humans,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-15568536,"Scientists have analysed a jawbone excavated from a prehistoric cave, showing humans were living in England as long as 44,000 years ago.","Thu, 03 Nov 2011 06:49:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.780251145362854)","('neutral', 0.9085845947265625)",neutral,0.780251145362854,neutral,0.9085845947265624,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Wildlife drought threat warning,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-17424729,"This summer's drought in parts of England could have a serious impact on wildlife, according to the Environment Agency.","Mon, 19 Mar 2012 00:01:17 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.5459858775138855)","('negative', 0.5662319660186768)",negative,0.5459858775138855,negative,0.5662319660186768,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: England drought impacts wildlife,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-17435122,The drought that's affecting many parts of England is beginning to have a serious impact on wildlife,"Mon, 19 Mar 2012 16:48:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6583044528961182)","('negative', 0.8160861134529114)",neutral,0.6583044528961182,negative,0.8160861134529114,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Coronavirus: Sewage testing for Covid-19 begins in England,https://www.bbc.co.uk/news/science-environment-53635692,"Samples will be checked for signs of the virus, to get early warnings of spikes in infection levels.","Mon, 03 Aug 2020 10:21:36 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7027758359909058)","('neutral', 0.8409855365753174)",neutral,0.7027758359909058,neutral,0.8409855365753174,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Antibiotic 'apocalypse' warning,http://www.bbc.co.uk/news/health-21178718#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"The rise in drug resistant infections is comparable to the threat of global warming, according to the chief medical officer for England.","Thu, 24 Jan 2013 13:18:55 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7471376657485962)","('neutral', 0.5459362268447876)",negative,0.7471376657485962,neutral,0.5459362268447876,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Seals' night 'secrets' revealed,http://www.bbc.co.uk/news/uk-england-norfolk-30862195#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Thermal imaging filming techniques by BBC Winterwatch have revealed the nocturnal behaviour of England's largest seal colony.,"Sat, 17 Jan 2015 12:43:45 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8853870034217834)","('neutral', 0.9280864596366882)",neutral,0.8853870034217834,neutral,0.9280864596366882,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Appeal started over badger cull,http://www.bbc.co.uk/news/uk-england-18923207#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Campaigners lodge an appeal after failing in a legal bid to block government plans to stage trial badger culls in England.,"Fri, 20 Jul 2012 11:45:04 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7264810800552368)","('negative', 0.5925770401954651)",neutral,0.7264810800552368,negative,0.5925770401954651,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Report into nuclear waste storage,http://www.bbc.co.uk/news/science-environment-18927945#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A report into the implications for an area in northern England hosting a high-level nuclear waste repository is released.,"Fri, 20 Jul 2012 14:08:25 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7785217761993408)","('neutral', 0.9380530714988708)",neutral,0.7785217761993408,neutral,0.9380530714988708,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Plan 'to wipe out bovine TB by 2038',http://www.bbc.co.uk/news/science-environment-23162183#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Ministers have set out their long-term plans for fighting TB in cattle - aiming for England to become TB-free within 25 years.,"Thu, 04 Jul 2013 13:22:28 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8592455387115479)","('neutral', 0.8006148934364319)",neutral,0.8592455387115479,neutral,0.8006148934364319,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Drought ends in parts of England,http://www.bbc.co.uk/news/uk-18032552#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"South-west England, the Midlands and parts of Yorkshire are no longer in drought following heavy rain in recent weeks, the Environment Agency said.","Fri, 11 May 2012 16:49:35 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8197579979896545)","('neutral', 0.8596958518028259)",neutral,0.8197579979896545,neutral,0.8596958518028259,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Schools 'fail girls in physics',http://www.bbc.co.uk/news/education-19603399#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Nearly half of all state schools in England do not send any girls on to study A-level physics, a study by the Institute of Physics finds.","Wed, 03 Oct 2012 02:26:07 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7655838131904602)","('neutral', 0.6262291669845581)",negative,0.7655838131904602,neutral,0.6262291669845581,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Girls on why they still love physics,http://www.bbc.co.uk/news/science-environment-19805534#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A new study has shown that nearly half of all state schools in England are not sending any girls to study A-level physics.,"Tue, 02 Oct 2012 23:16:06 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('positive', 0.7008468508720398)","('neutral', 0.5539644360542297)",positive,0.7008468508720398,neutral,0.5539644360542297,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Drought measures sought at summit,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-17091256,"Parts of England face ""crippling drought"" with some rivers and groundwater levels lower than in 1976, it is warned, as a drought summit is held.","Mon, 20 Feb 2012 13:51:22 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8235873579978943)","('negative', 0.6304259300231934)",neutral,0.8235873579978943,negative,0.6304259300231934,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Substance 'could kill more birds',http://www.bbc.co.uk/news/uk-21297092#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Tests are being carried out on a sticky white wax that has been found on more than 100 seabirds washed up along England's south-west coastline.,"Fri, 01 Feb 2013 22:34:57 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.8141427636146545)","('neutral', 0.6294991970062256)",negative,0.8141427636146545,neutral,0.6294991970062256,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
England's environment 'in decline',http://www.bbc.co.uk/news/uk-30996096#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"England's natural environment is in decline and its deterioration is harming the economy, an independent advisory group warns.","Tue, 27 Jan 2015 14:52:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.740685224533081)","('negative', 0.8731274008750916)",negative,0.740685224533081,negative,0.8731274008750916,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Ancient underwater forest found off UK,http://www.bbc.co.uk/news/uk-england-30905267#sa-ns_mchannel=rssns_source=PublicRSS20-sa,BBC Inside Out reveals a 'lost world' with the discovery of a remarkable submerged forest thousands of years old underneath the sea off eastern England.,"Mon, 26 Jan 2015 00:28:41 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.9051226377487183)","('neutral', 0.7691687345504761)",neutral,0.9051226377487184,neutral,0.7691687345504761,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Is this November unusually wet?,http://www.bbc.co.uk/news/uk-20503775#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"River levels have risen in northern England and north Wales, threatening more flooding but are this month's downpours any heavier than usual?","Mon, 26 Nov 2012 23:00:10 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.9394785761833191)","('negative', 0.5132393836975098)",neutral,0.9394785761833192,negative,0.5132393836975098,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Flood defence assessment completed,http://www.bbc.co.uk/news/science-environment-27095617#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"For the first time in its history, the Environment Agency assesses the state of all flood defences in England following 'unprecedented' winter storms.","Mon, 21 Apr 2014 09:25:16 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.776999294757843)","('neutral', 0.8556121587753296)",neutral,0.776999294757843,neutral,0.8556121587753296,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Ministers in U-turn over buzzards,http://www.bbc.co.uk/news/uk-politics-18262300#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Plans which could have allowed some gamekeepers in England to capture buzzards and destroy their nests to stop them eating pheasants are abandoned.,"Wed, 30 May 2012 15:05:56 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8898802995681763)","('negative', 0.7695318460464478)",neutral,0.8898802995681763,negative,0.7695318460464478,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Buzzard capture plans condemned,http://www.bbc.co.uk/news/science-environment-18186423#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Conservationists say they're outraged by proposals to allow Buzzards to be captured and their nests destroyed in an effort to protect young pheasants in England.,"Thu, 24 May 2012 06:02:18 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.6927139759063721)","('negative', 0.7814468145370483)",negative,0.6927139759063721,negative,0.7814468145370483,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Richard the Lionheart's heart probed,http://www.bbc.co.uk/news/science-environment-21609783#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The mummified heart of England's King Richard I - better known as Richard the Lionheart - is analysed by forensic scientists.,"Thu, 28 Feb 2013 14:04:44 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7980637550354004)","('neutral', 0.8689659237861633)",neutral,0.7980637550354004,neutral,0.8689659237861633,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
In pictures: Top trunks,http://www.bbc.co.uk/nature/28791750,"The search for England's ""Tree of the Year""","Fri, 15 Aug 2014 01:23:52 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.7592698335647583)","('neutral', 0.8359273672103882)",neutral,0.7592698335647583,neutral,0.8359273672103882,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
England 'exposed' to climate risks,http://www.bbc.co.uk/news/science-environment-28214685#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"England is still not doing enough to tackle the risks from climate change, government advisers say.","Wed, 09 Jul 2014 03:44:55 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8392944931983948)","('negative', 0.718979001045227)",neutral,0.8392944931983948,negative,0.718979001045227,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
TB: Farmers face new cattle controls,http://www.bbc.co.uk/news/science-environment-23635098#sa-ns_mchannel=rssns_source=PublicRSS20-sa,New measures to try to slow the spread of bovine TB in England have been announced by the government.,"Mon, 12 Aug 2013 16:05:59 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.6805468797683716)","('neutral', 0.8999882936477661)",neutral,0.6805468797683716,neutral,0.8999882936477661,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Lack of kit 'hampers school science',http://www.bbc.co.uk/news/education-22369573#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Pupils at many state-funded schools in England miss out on practical science experiments because of a lack of basic equipment, a report suggests.","Thu, 02 May 2013 21:19:22 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7399432063102722)","('negative', 0.7395274639129639)",negative,0.7399432063102722,negative,0.7395274639129639,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Science plan 'weakens sex education',http://www.bbc.co.uk/news/education-22123131#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Sex education in schools is at risk of being ""watered down"" if proposed changes to England's science curriculum go ahead, experts have warned.","Fri, 12 Apr 2013 13:57:19 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('neutral', 0.8248098492622375)","('negative', 0.6382091045379639)",neutral,0.8248098492622375,negative,0.6382091045379639,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
VIDEO: Lack of rain devastating UK crops,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-13538304,Farmers in eastern parts of England say the lack of rain has had a devastating effect on their crops after the warmest April on record.,"Wed, 25 May 2011 08:42:47 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7957016229629517)","('negative', 0.804802656173706)",negative,0.7957016229629517,negative,0.804802656173706,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Roman 'murder victim' unearthed,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-england-kent-13211331,The body of a girl thought to have been murdered by Roman soldiers is discovered by archaeologists in southeast England.,"Thu, 28 Apr 2011 14:17:22 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.5256507992744446)","('neutral', 0.5776689648628235)",negative,0.5256507992744446,neutral,0.5776689648628235,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Labour oppose England badger cull,http://www.bbc.co.uk/go/rss/int/news/-/news/uk-politics-14572655,Labour launch a campaign arguing that government plans for a cull would not help reduce the spread of cattle tuberculosis.,"Thu, 18 Aug 2011 23:55:21 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.6317113041877747)","('negative', 0.8004504442214966)",negative,0.6317113041877747,negative,0.8004504442214966,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Online farm payment system ditched,http://www.bbc.co.uk/news/uk-31976230#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A multi-million pound government IT system to process EU subsidy payments for farmers in England has been largely abandoned following ""performance problems"".","Fri, 20 Mar 2015 10:37:40 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.7494266033172607)","('negative', 0.6960057020187378)",negative,0.7494266033172607,negative,0.6960057020187378,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
Schools 'making gender bias worse',http://www.bbc.co.uk/news/science-environment-25243274#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Half of the mixed state-funded schools in England reinforce gender imbalances in terms of subjects students study at A-level, research shows.","Mon, 09 Dec 2013 01:37:37 GMT",England,Arkansas,Lonoke,34.5454,-91.9675,"('negative', 0.8425442576408386)","('neutral', 0.6101974248886108)",negative,0.8425442576408386,neutral,0.6101974248886108,England,AR,Arkansas,5085,2502,554.5,False,True,America/Chicago,72046
