title,link,description,published
Massive Winter Storm Sweeps Across U.S.,https://earthobservatory.nasa.gov/images/149428/massive-winter-storm-sweeps-across-us,"A severe winter storm cut a wide swath across the U.S. bringing heavy snow, freezing rain, and treacherous ice.","Fri, 04 Feb 2022 17:02:57 -0500"
A Modern Lake in an Ancient Crater,https://earthobservatory.nasa.gov/images/149414/a-modern-lake-in-an-ancient-crater,"Famously visible from space, ring-shaped Manicouagan Lake was built at the dawn of the Space Age when Canada dammed a river to flood a Triassic-aged impact crater.","Fri, 04 Feb 2022 00:00:00 -0500"
A Human Fingerprint on the Pantanal Inferno,https://earthobservatory.nasa.gov/images/149398/a-human-fingerprint-on-the-pantanal-inferno,"Heat and drought exacerbated fire season in 2020, but cattle grazing and other human activities also primed the region to burn.","Thu, 03 Feb 2022 00:00:00 -0500"
Cyclone Batsirai,https://earthobservatory.nasa.gov/images/149418/cyclone-batsirai,"Just two weeks after Tropical Storm Ana, citizens of Madagascar braced for the arrival of another potent cyclone.","Wed, 02 Feb 2022 14:02:17 -0500"
Larsen B Embayment Breaks Up,https://earthobservatory.nasa.gov/images/149410/larsen-b-embayment-breaks-up,"After more than a decade fastened to the coastline, a large expanse of sea ice broke away from the Antarctic Peninsula in January 2022.","Tue, 01 Feb 2022 16:46:02 -0500"
Blizzard Blankets Northeast U.S. in Snow,https://earthobservatory.nasa.gov/images/149402/blizzard-blankets-northeast-us-in-snow,"Twelve states from North Carolina to Maine received measurable snowfall from the nor'easter, which included hurricane-force wind gusts.","Mon, 31 Jan 2022 17:43:45 -0500"
"Different Planets, Similar Patterns",https://earthobservatory.nasa.gov/blogs/earthmatters/?p=11836,Vortices in Earth’s oceans and in the atmosphere on Jupiter are generated by the same sort of fluid dynamics. ,"Mon, 31 Jan 2022 13:00:42 -0500"
Yellow Sea Night Lights,https://earthobservatory.nasa.gov/images/149388/yellow-sea-night-lights,Aggregations of fishing boats can make it seem like there are cities in the water.,"Sun, 30 Jan 2022 00:00:00 -0500"
Suspended Sediments Streak a Shallow Gulf,https://earthobservatory.nasa.gov/images/149359/suspended-sediments-streak-a-shallow-gulf,High tides and strong currents keep sediment on the move in India’s Gulf of Khambhat.,"Sat, 29 Jan 2022 00:00:00 -0500"
Island Nation Hit Hard by Eruption,https://earthobservatory.nasa.gov/images/149391/island-nation-hit-hard-by-eruption,Tsunami waves battered the coasts of several Tongan islands and ash blankets everything.,"Fri, 28 Jan 2022 17:29:51 -0500"
Coloring the South Atlantic,https://earthobservatory.nasa.gov/images/149384/coloring-the-south-atlantic,"At a place where seven different water masses meet, the waters are teeming with phytoplankton and fish.","Thu, 27 Jan 2022 16:53:51 -0500"
"Looking for Lightning, Finding Fireballs",https://earthobservatory.nasa.gov/images/149381/looking-for-lightning-finding-fireballs,Researchers are using data from weather satellites to detect meteors entering Earth’s atmosphere.,"Thu, 27 Jan 2022 00:00:00 -0500"
Dust Storm Envelops the Arabian Sea,https://earthobservatory.nasa.gov/images/149378/dust-storm-envelops-the-arabian-sea,"The size of the plume was remarkable, as was its unusual path.","Tue, 25 Jan 2022 17:38:04 -0500"
Mapping Methane Emissions from Fossil Fuel Exploitation,https://earthobservatory.nasa.gov/images/149374/mapping-methane-emissions-from-fossil-fuel-exploitation,Scientists track the sources of 97 million metric tons of methane emissions.,"Tue, 25 Jan 2022 00:00:00 -0500"
Winter on the Roof of the World,https://earthobservatory.nasa.gov/images/149356/winter-on-the-roof-of-the-world,"With an average elevation of 4500 meters above sea level, the Qinghai-Tibet Plateau is one of Earth’s highest geographic features.","Sun, 23 Jan 2022 00:00:00 -0500"
Guishan Island,https://earthobservatory.nasa.gov/images/149363/guishan-island,The island off the northeast coast of Taiwan is surrounded by dozens of hydrothermal vents.,"Sat, 22 Jan 2022 00:00:00 -0500"
Dramatic Changes at Hunga Tonga-Hunga Ha‘apai,https://earthobservatory.nasa.gov/images/149367/dramatic-changes-at-hunga-tonga-hunga-haapai,NASA scientists have been closely watching the evolution of the volcanic island near Tonga since 2015.,"Fri, 21 Jan 2022 17:16:20 -0500"
Ice Age Canadian Lakes,https://earthobservatory.nasa.gov/images/149352/ice-age-canadian-lakes,"The lakes, wetlands, and glacial landscape of Manitoba were shaped by glaciers and ice sheets.","Fri, 21 Jan 2022 00:00:00 -0500"
Dust Storm Engulfs Canary Islands,https://earthobservatory.nasa.gov/images/149342/dust-storm-engulfs-canary-islands,"The event, known locally as “la calima,” turned skies orange and degraded air quality in Gran Canaria and neighboring islands.","Wed, 19 Jan 2022 16:56:24 -0500"
Hunga Tonga-Hunga Ha‘apai Erupts,https://earthobservatory.nasa.gov/images/149347/hunga-tonga-hunga-haapai-erupts,Several Earth-observing satellites collected data during and after the potent blast spurred a tsunami and lofted volcanic material high into the stratosphere.,"Tue, 18 Jan 2022 17:02:18 -0500"
Two Decades of Change at Toshka Lakes,https://earthobservatory.nasa.gov/images/149334/two-decades-of-change-at-toshka-lakes,The rise and fall of these basins depend on fluctuations in the flow of the Nile River.,"Tue, 18 Jan 2022 00:00:00 -0500"
Tropical Storm Henri,https://earthobservatory.nasa.gov/images/148735/tropical-storm-henri,The strengthening storm could reach southern New England with hurricane or near-hurricane strength winds.,"Fri, 20 Aug 2021 15:47:22 -0400"
California Burning,https://earthobservatory.nasa.gov/images/148731/california-burning,"Several destructive fires have charred landscapes in northern California, and their emissions are adding up.","Fri, 20 Aug 2021 15:35:10 -0400"
Storms Churn Around North America,https://earthobservatory.nasa.gov/images/148725/storms-churn-around-north-america,"With multiple storms offshore and smoke streaming over the continent, there has been plenty for satellites and scientists to track in recent days.","Wed, 18 Aug 2021 15:44:42 -0400"
Rain and Warmth Trigger More Melting in Greenland,https://earthobservatory.nasa.gov/images/148720/rain-and-warmth-trigger-more-melting-in-greenland,"The island’s vast ice sheet underwent multiple bouts of widespread melting this summer, exacerbated in August 2021 by rain.","Wed, 18 Aug 2021 13:48:55 -0400"
Record Low for Great Salt Lake,https://earthobservatory.nasa.gov/images/148700/record-low-for-great-salt-lake,Low water levels are due to recent trends in precipitation and long-term trends in consumption by humans.,"Tue, 17 Aug 2021 15:43:31 -0400"
Heat and Flames Scorch Spain,https://earthobservatory.nasa.gov/images/148718/heat-and-flames-scorch-spain,"A fast-moving fire burning in central Spain forced more than 1,000 people to evacuate.","Tue, 17 Aug 2021 15:35:47 -0400"
Earthquake in Haiti Triggers Landslides,https://earthobservatory.nasa.gov/images/148713/earthquake-in-haiti-triggers-landslides,A break in the clouds offered satellites a view of hillslopes that slid away during the magnitude 7.2 temblor.,"Mon, 16 Aug 2021 17:05:40 -0400"
Green Seaweed in the Yellow Sea,https://earthobservatory.nasa.gov/images/148696/green-seaweed-in-the-yellow-sea,"In June 2021, algal slicks painted the waters green off Qingdao, China, during the region’s largest bloom on record.","Mon, 16 Aug 2021 00:00:00 -0400"
A London Mosaic,https://earthobservatory.nasa.gov/images/148709/a-london-mosaic,"Twenty centuries after Londinium was founded, the capital city now includes 32 boroughs, numerous parks and bridges, and a rich history.","Sun, 15 Aug 2021 00:00:00 -0400"
Xiamen and Quanzhou,https://earthobservatory.nasa.gov/images/147091/xiamen-and-quanzhou,Bright lights of these coastal cities of China are sandwiched between mountains and the sea.,"Sun, 09 Aug 2020 00:00:00 -0400"
All Clear on the Western Front,https://earthobservatory.nasa.gov/images/147094/all-clear-on-the-western-front,"The Suomi NPP satellite got a clear view of Western Europe, its nighttime lights, and its moonlit landscape.","Sat, 08 Aug 2020 00:00:00 -0400"
Another Intense Summer of Fires in Siberia,https://earthobservatory.nasa.gov/images/147083/another-intense-summer-of-fires-in-siberia,"Following an active 2019 season, fires in 2020 have again been abundant, widespread, and have produced abnormally large carbon emissions.","Fri, 07 Aug 2020 00:00:00 -0400"
Shifting Shapes of Sandy Scapes,http://earthobservatory.nasa.gov/blogs/eokids/?p=549,"Building sand castles is a summer pastime, whether in a sandbox or at the beach. Nature builds with sand, too,
using wind to create different shapes.","Thu, 06 Aug 2020 21:56:42 -0400"
No Rest for Nishinoshima,https://earthobservatory.nasa.gov/images/147081/no-rest-for-nishinoshima,Volcanic activity that ramped up in late May 2020 has continued into August.,"Thu, 06 Aug 2020 13:38:49 -0400"
Arctic Lows,https://earthobservatory.nasa.gov/images/147070/arctic-lows,Record-low sea ice in July 2020 could be further depleted by a low-pressure system that developed over the Arctic Ocean.,"Thu, 06 Aug 2020 00:00:00 -0400"
Could COVID-19 Have Seasons? Searching for Signals in Earth Data,https://earthobservatory.nasa.gov/features/covid-seasonality,A race is on to figure out whether COVID-19 will wax and wane with the seasons. Atmospheric and hydrologic models produced by NASA and other institutions may be key to that research.,"Wed, 05 Aug 2020 00:00:00 -0400"
Could COVID-19 Have Seasons?,https://earthobservatory.nasa.gov/images/147066/could-covid-19-have-seasons,Scientists are probing environmental data from reanalysis models in the hopes of finding answers.,"Wed, 05 Aug 2020 00:00:00 -0400"
Early Detection of Algae Yields Savings,https://earthobservatory.nasa.gov/images/146983/early-detection-of-algae-yields-savings,"Satellites can spot some blooms earlier, resulting in significant savings on health care, lost work hours, and other economic costs.","Tue, 04 Aug 2020 00:00:00 -0400"
Smoke from Apple Fire Spreads,https://earthobservatory.nasa.gov/images/147064/smoke-from-apple-fire-spreads,Wildfire smoke from California traveled hundreds to miles and obscured skies in central Arizona.,"Mon, 03 Aug 2020 17:06:29 -0400"
Cultivating Ideas for Mars,https://earthobservatory.nasa.gov/images/147053/cultivating-ideas-for-mars,Plants that can survive in harsh environments like Canada’s Devon Island may be good candidates for eventually terraforming the Red Planet.,"Mon, 03 Aug 2020 00:00:00 -0400"
"Cooper Creek, Australia",https://earthobservatory.nasa.gov/images/147046/cooper-creek-australia,"The combination of stable, ancient dunes and water channels displaying both braided and cross-connecting patterns make this region a planetary analogue for Mars.","Sun, 02 Aug 2020 00:00:00 -0400"
Intense Flooding in Bangladesh,https://earthobservatory.nasa.gov/images/147057/intense-flooding-in-bangladesh,"Monsoon-related flooding, which has been ongoing since June 2020, has inundated a quarter of the country.","Sat, 01 Aug 2020 00:00:00 -0400"
Hurricane Isaias Moves Over the Caribbean,https://earthobservatory.nasa.gov/images/147062/hurricane-isaias-moves-over-the-caribbean,The category 1 hurricane is headed for a brush with Florida’s Atlantic Coast.,"Fri, 31 Jul 2020 15:20:47 -0400"
Phytoplankton Surge in Arctic Waters,https://earthobservatory.nasa.gov/images/147049/phytoplankton-surge-in-arctic-waters,The floating plant-like organisms are showing up in higher concentrations across the Arctic Ocean.,"Fri, 31 Jul 2020 00:00:00 -0400"
Jez like Mars,https://earthobservatory.nasa.gov/images/147041/jez-like-mars,"Though located a world away, Lake Salda, Turkey, shares similar mineralogy as Jezero Crater on Mars.","Thu, 30 Jul 2020 00:00:00 -0400"
Winter Light for Antarctica,https://earthobservatory.nasa.gov/images/147038/winter-light-for-antarctica,A satellite caught a glimpse of the <em>aurora australis</em> over the Southern Ocean in July 2020.,"Wed, 29 Jul 2020 14:58:12 -0400"
The Parched Paraná River,https://earthobservatory.nasa.gov/images/147031/the-parched-parana-river,A drought around South America’s second longest river has grounded ships and contributed to a rash of fire in the delta and floodplain.,"Wed, 29 Jul 2020 00:00:00 -0400"
Checking on Chikungunya,https://earthobservatory.nasa.gov/images/147017/checking-on-chikungunya,Researchers can predict potential outbreaks of the mosquito-borne virus months in advance by using satellite data.,"Tue, 28 Jul 2020 00:00:00 -0400"
Hurricane Hanna Makes Landfall,https://earthobservatory.nasa.gov/images/147036/hurricane-hanna-makes-landfall,The category 1 hurricane caused flooding in southern parts of Texas.,"Mon, 27 Jul 2020 15:36:26 -0400"
Alaska’s Vegetation is Changing Dramatically,https://earthobservatory.nasa.gov/images/147021/alaskas-vegetation-is-changing-dramatically,"Tree and plant cover has deteriorated considerably in some areas, while advancing in other areas that previously burned or used to be frozen.","Mon, 27 Jul 2020 00:00:00 -0400"
Death Valley Landscapes,https://earthobservatory.nasa.gov/images/147025/death-valley-landscapes,"The area is known for its extreme dryness and dangerous heat records. However, traces on the land indicate that water sometimes flows here.","Sun, 26 Jul 2020 00:00:00 -0400"
Hurricane Douglas Heads Toward Hawaii,https://earthobservatory.nasa.gov/images/147028/hurricane-douglas-heads-toward-hawaii,"Heavy rains and winds may result in flash flooding, landslides, and life-threatening surf conditions.","Sat, 25 Jul 2020 00:00:00 -0400"
Yangtze Dams Spill Water,https://earthobservatory.nasa.gov/images/147013/yangtze-dams-spill-water,"As water levels rise from excessive monsoon rainfall, dam operators discharge water through spillway gates.","Fri, 24 Jul 2020 00:00:00 -0400"
Excessive Monsoon Rains Flood Asia,https://earthobservatory.nasa.gov/images/147006/excessive-monsoon-rains-flood-asia,"By mid-July 2020, rainfall had triggered flooding and landslides that affected millions of people across South and East Asia.","Thu, 23 Jul 2020 00:00:00 -0400"
Dust Streams from the Namibian Coast,https://earthobservatory.nasa.gov/images/147010/dust-streams-from-the-namibian-coast,"On July 17, 2020, strong winds blew dust out of the Namib Desert.","Wed, 22 Jul 2020 15:47:25 -0400"
The River of No Return,https://earthobservatory.nasa.gov/images/146964/the-river-of-no-return,"The Salmon River in Idaho, one of the longest free-flowing rivers in the United States, rushes through a geologic wonderland of wooded ridges, eroded bluffs, and stone towers and crags.","Wed, 22 Jul 2020 00:00:00 -0400"
Of Mosquitoes and Models: Tracking Disease by Satellite,https://earthobservatory.nasa.gov/features/disease-vector,"A few decades ago, the idea of predicting a disease outbreak via satellite was science fiction. But today, researchers can use environmental data to predict when and where some diseases are likely to spread.","Tue, 21 Jul 2020 00:00:00 -0400"
Sea Ice in Denmark Strait,https://earthobservatory.nasa.gov/images/146974/sea-ice-in-denmark-strait,"Ice that originated in the Arctic Ocean drifts hundreds of miles south, pulled along and shaped by the East Greenland Current.","Tue, 21 Jul 2020 00:00:00 -0400"
Mineral Fire,https://earthobservatory.nasa.gov/images/147004/mineral-fire,"A wildfire in Fresno County, California has burned more than 28,000 acres.","Mon, 20 Jul 2020 13:56:54 -0400"
Gearing Up for an Active 2020 Hurricane Season,https://earthobservatory.nasa.gov/images/146991/gearing-up-for-an-active-2020-hurricane-season,Abnormally warm ocean temperatures and a potential La Niña set the stage for an above-average Atlantic hurricane season.,"Mon, 20 Jul 2020 00:00:00 -0400"
Storm-Ravaged Madagascar Faces Another Storm,https://earthobservatory.nasa.gov/images/149494/storm-ravaged-madagascar-faces-another-storm,Cyclone Emnati marks the fifth time in six weeks that heavy rain and destructive wind are blowing in from the Indian Ocean.,"Tue, 22 Feb 2022 17:39:19 -0500"
Monster Waves of Nazaré,https://earthobservatory.nasa.gov/images/149486/monster-waves-of-nazare,Just-right conditions off the coast of this Portuguese fishing town have churned out some of the largest waves ever surfed.,"Tue, 22 Feb 2022 00:00:00 -0500"
"Cloudscape at Dawn, Northwest Atlantic",https://earthobservatory.nasa.gov/images/149490/cloudscape-at-dawn-northwest-atlantic,"Looking toward the rising Sun, an external camera on the ISS was able to capture the details of rising cumulus clouds.","Mon, 21 Feb 2022 00:00:00 -0500"
Fog Down in the Valley,https://earthobservatory.nasa.gov/images/149482/fog-down-in-the-valley,Oregon’s Willamette Valley had endured several long stretches of thick fog in January and February 2022 due to temperature inversions.,"Sun, 20 Feb 2022 00:00:00 -0500"
Soaking Up Sun in the Thar Desert,https://earthobservatory.nasa.gov/images/149442/soaking-up-sun-in-the-thar-desert,The Thar desert’s abundance of open space and sunshine make it an ideal place for solar power.,"Sat, 19 Feb 2022 00:00:00 -0500"
"Wildfires Ravage Corrientes, Argentina",https://earthobservatory.nasa.gov/images/149478/wildfires-ravage-corrientes-argentina,A heatwave and an ongoing drought have fueled fires that continue to burn across this agricultural region.,"Thu, 17 Feb 2022 18:01:20 -0500"
Tonga Volcano Plume Reached the Mesosphere,https://earthobservatory.nasa.gov/images/149474/tonga-volcano-plume-reached-the-mesosphere,The plume from Hunga Tonga-Hunga Ha‘apai behaved like a mega-thunderstorm that rose 58 kilometers (38 miles) into the atmosphere.,"Wed, 16 Feb 2022 16:31:35 -0500"
Iberian Peninsula Drought,https://earthobservatory.nasa.gov/images/149469/iberian-peninsula-drought,"A dry spell has left some reservoirs at extreme lows, disrupting hydroelectricity generation and irrigation, and revealing a long-submerged village.","Wed, 16 Feb 2022 00:00:00 -0500"
Chilean Volcano Low on Snow,https://earthobservatory.nasa.gov/images/149463/chilean-volcano-low-on-snow,The slopes of Villarrica volcano in the southern Andes Mountains appeared more bare than usual during summer 2021-2022.,"Mon, 14 Feb 2022 14:12:22 -0500"
Heart-shaped Oasis,https://earthobservatory.nasa.gov/images/149451/heart-shaped-oasis,"This area of Egypt has supported human life for more than 8,000 years.","Mon, 14 Feb 2022 00:00:00 -0500"
A Super View of LA,https://earthobservatory.nasa.gov/images/149458/a-super-view-of-la,Landsat 9 completed its own pass this week in time for the big game.,"Sat, 12 Feb 2022 00:00:00 -0500"
Cyclone Batsirai Floods Madagascar,https://earthobservatory.nasa.gov/images/149454/cyclone-batsirai-floods-madagascar,A month of intense rainstorms and two tropical cyclones has led to widespread flooding.,"Fri, 11 Feb 2022 16:12:58 -0500"
Assessing Lightning Risk in South Asia,https://earthobservatory.nasa.gov/images/149447/assessing-lightning-risk-in-south-asia,"With lightning killing hundreds of people in Bangladesh and Nepal each year, researchers think space-based observations could help reduce risks.","Fri, 11 Feb 2022 00:00:00 -0500"
Alaskan Ice in Retreat: 35 Years at Columbia Glacier,https://earthobservatory.nasa.gov/images/149445/alaskan-ice-in-retreat-35-years-at-columbia-glacier,Watch the glacier crumble away as it retreats about 15 miles from its initial position in the 1980s.,"Thu, 10 Feb 2022 00:00:00 -0500"
A Lake in Winter,https://earthobservatory.nasa.gov/images/149438/a-lake-in-winter,"Ice cover on Lake Erie reached nearly 100 percent, but ice on the Great Lakes is often variable and unpredictable.","Wed, 09 Feb 2022 00:00:00 -0500"
Brilliant Borealis,https://earthobservatory.nasa.gov/images/149435/brilliant-borealis,A blast of high-speed solar wind provoked dancing auroras in early February.,"Tue, 08 Feb 2022 00:00:00 -0500"
A Ship Graveyard in Lake Erie,https://earthobservatory.nasa.gov/images/148990/a-ship-graveyard-in-lake-erie,The shallowest of the Great Lakes has one of the greatest concentrations of shipwrecks in the world.,"Mon, 25 Oct 2021 00:00:00 -0400"
"Palma, Mallorca",https://earthobservatory.nasa.gov/images/148987/palma-mallorca,"The city has a rich history that has been influenced by the Roman Empire, the Byzantine Empire, and the Moors.","Sun, 24 Oct 2021 00:00:00 -0400"
